grid_index,run_name,run_dir,selection_score,validation_mse,validation_sun_mse,validation_mars_mse,validation_mars_velocity_mse,validation_mars_curvature_mse,warmup_steps,steps_per_week,interlayer_scale,velocity_weight,curvature_weight,beta_mode,training_seconds,trainable_parameters
84,warmup-05_steps-01_scale-4_velocity-1_curvature-1_beta-zero,results/solar-grid-15k-108774/runs/warmup-05_steps-01_scale-4_velocity-1_curvature-1_beta-zero,0.1900238145608455,0.10321739315986633,0.04210544005036354,0.16432934999465942,0.0016129163559526205,0.0009565301006659865,5,1,4.0,1.0,1.0,zero,195.41583995800465,606
47,warmup-40_steps-03_scale-2_velocity-30_curvature-10_beta-zero,results/solar-grid-15k-108774/runs/warmup-40_steps-03_scale-2_velocity-30_curvature-10_beta-zero,0.1904619132510561,0.10082032531499863,0.02324964851140976,0.1783909946680069,0.0011880313977599144,1.9060460545006208e-05,40,3,2.0,30.0,10.0,zero,368.8734189560637,606
3,warmup-40_steps-05_scale-2_velocity-30_curvature-10_beta-zero,results/solar-grid-15k-108774/runs/warmup-40_steps-05_scale-2_velocity-30_curvature-10_beta-zero,0.190554122946196,0.10097552835941315,0.023437894880771637,0.17851315438747406,0.0011866188142448664,1.747804162732791e-05,40,5,2.0,30.0,10.0,zero,494.4855181132443,606
68,warmup-20_steps-03_scale-2_velocity-30_curvature-10_beta-zero,results/solar-grid-15k-108774/runs/warmup-20_steps-03_scale-2_velocity-30_curvature-10_beta-zero,0.19069168510395684,0.10089841485023499,0.02326062135398388,0.17853622138500214,0.0011947971070185304,2.0749264876940288e-05,20,3,2.0,30.0,10.0,zero,344.2604735912755,606
70,warmup-40_steps-01_scale-2_velocity-30_curvature-10_beta-zero,results/solar-grid-15k-108774/runs/warmup-40_steps-01_scale-2_velocity-30_curvature-10_beta-zero,0.19078826515760738,0.1005682423710823,0.022657360881567,0.1784791201353073,0.0012050219811499119,2.589252108009532e-05,40,1,2.0,30.0,10.0,zero,243.34137804200873,606
51,warmup-05_steps-01_scale-4_velocity-1_curvature-1_beta-paper,results/solar-grid-15k-108774/runs/warmup-05_steps-01_scale-4_velocity-1_curvature-1_beta-paper,0.19087930070236325,0.10321991890668869,0.040775854140520096,0.1656639724969864,0.0016143170651048422,0.0009072157554328442,5,1,4.0,1.0,1.0,paper,195.3099029851146,606
93,warmup-20_steps-01_scale-2_velocity-30_curvature-10_beta-zero,results/solar-grid-15k-108774/runs/warmup-20_steps-01_scale-2_velocity-30_curvature-10_beta-zero,0.19108982506077155,0.10068890452384949,0.022646276280283928,0.1787315458059311,0.0012114305282011628,2.4397397282882594e-05,20,1,2.0,30.0,10.0,zero,215.9459261628799,606
36,warmup-40_steps-03_scale-2_velocity-10_curvature-10_beta-zero,results/solar-grid-15k-108774/runs/warmup-40_steps-03_scale-2_velocity-10_curvature-10_beta-zero,0.1912288663952495,0.10110657662153244,0.023128649219870567,0.17908449470996857,0.0011952397180721164,1.919745045597665e-05,40,3,2.0,10.0,10.0,zero,368.48177833203226,606
26,warmup-40_steps-01_scale-2_velocity-10_curvature-10_beta-zero,results/solar-grid-15k-108774/runs/warmup-40_steps-01_scale-2_velocity-10_curvature-10_beta-zero,0.1914730671705911,0.10081891715526581,0.022537052631378174,0.17910078167915344,0.0012104255147278309,2.6803034415934235e-05,40,1,2.0,10.0,10.0,zero,243.6304722148925,606
34,warmup-20_steps-05_scale-2_velocity-10_curvature-10_beta-zero,results/solar-grid-15k-108774/runs/warmup-20_steps-05_scale-2_velocity-10_curvature-10_beta-zero,0.19147634763794485,0.10130792111158371,0.023321958258748055,0.17929387092590332,0.001199293532408774,1.895413879537955e-05,20,5,2.0,10.0,10.0,zero,465.81455179909244,606
