grid_index,run_name,run_dir,selection_score,validation_mse,validation_sun_mse,validation_mars_mse,validation_mars_velocity_mse,validation_mars_curvature_mse,warmup_steps,steps_per_week,interlayer_scale,velocity_weight,curvature_weight,beta_mode,training_seconds,trainable_parameters
62,warmup-40_steps-05_scale-1_velocity-10_curvature-10_beta-zero,results/solar-grid-15k-108774/runs/warmup-40_steps-05_scale-1_velocity-10_curvature-10_beta-zero,0.2198881607291696,0.11711139976978302,0.026686159893870354,0.20753663778305054,0.0012172316201031208,1.792067450878676e-05,40,5,1.0,10.0,10.0,zero,492.4663984659128,606
12,warmup-20_steps-05_scale-1_velocity-10_curvature-10_beta-zero,results/solar-grid-15k-108774/runs/warmup-20_steps-05_scale-1_velocity-10_curvature-10_beta-zero,0.22000350995949702,0.11712934076786041,0.026698149740695953,0.20756055414676666,0.0012228257255628705,2.1469855710165575e-05,20,5,1.0,10.0,10.0,zero,465.2519879397005,606
27,warmup-40_steps-01_scale-1_velocity-30_curvature-10_beta-zero,results/solar-grid-15k-108774/runs/warmup-40_steps-01_scale-1_velocity-30_curvature-10_beta-zero,0.22044143016682938,0.11727537214756012,0.026697536930441856,0.20785321295261383,0.00123105279635638,2.77689250651747e-05,40,1,1.0,30.0,10.0,zero,243.6849035769701,606
57,warmup-05_steps-05_scale-1_velocity-10_curvature-10_beta-paper,results/solar-grid-15k-108774/runs/warmup-05_steps-05_scale-1_velocity-10_curvature-10_beta-paper,0.22069430924602784,0.11614914238452911,0.02592470869421959,0.20637355744838715,0.0013179293600842357,0.00011414581967983395,5,5,1.0,10.0,10.0,paper,445.65463466988876,606
1,warmup-05_steps-05_scale-1_velocity-30_curvature-10_beta-paper,results/solar-grid-15k-108774/runs/warmup-05_steps-05_scale-1_velocity-30_curvature-10_beta-paper,0.2208262352796737,0.1170908734202385,0.02703636698424816,0.20714539289474487,0.0012809723848477006,8.711185364518315e-05,5,5,1.0,30.0,10.0,paper,454.2775890864432,606
28,warmup-20_steps-03_scale-1_velocity-30_curvature-10_beta-zero,results/solar-grid-15k-108774/runs/warmup-20_steps-03_scale-1_velocity-30_curvature-10_beta-zero,0.22139996452096966,0.11817920207977295,0.027532922104001045,0.2088254690170288,0.001231737551279366,2.571199911471922e-05,20,3,1.0,30.0,10.0,zero,345.2867227788083,606
67,warmup-20_steps-05_scale-1_velocity-30_curvature-10_beta-zero,results/solar-grid-15k-108774/runs/warmup-20_steps-05_scale-1_velocity-30_curvature-10_beta-zero,0.22159021389234113,0.11849138885736465,0.0278555229306221,0.209127277135849,0.0012258008355274796,2.0492840121733025e-05,20,5,1.0,30.0,10.0,zero,465.0769376279786,606
59,warmup-05_steps-05_scale-1_velocity-30_curvature-10_beta-zero,results/solar-grid-15k-108774/runs/warmup-05_steps-05_scale-1_velocity-30_curvature-10_beta-zero,0.224412842959282,0.11935386061668396,0.028025565668940544,0.21068213880062103,0.001277601346373558,9.546906949253753e-05,5,5,1.0,30.0,10.0,zero,445.51479570986703,606
19,warmup-05_steps-01_scale-1_velocity-30_curvature-10_beta-paper,results/solar-grid-15k-108774/runs/warmup-05_steps-01_scale-1_velocity-30_curvature-10_beta-paper,0.22568680089898407,0.12063062936067581,0.03039678744971752,0.21086448431015015,0.0013518043560907245,0.00013042730279266834,5,1,1.0,30.0,10.0,paper,197.0046348143369,606
4,warmup-05_steps-03_scale-1_velocity-10_curvature-10_beta-zero,results/solar-grid-15k-108774/runs/warmup-05_steps-03_scale-1_velocity-10_curvature-10_beta-zero,0.22573461360298097,0.11907237768173218,0.02754347026348114,0.21060127019882202,0.0013641274999827147,0.00014920684043318033,5,3,1.0,10.0,10.0,zero,323.80265503330156,606
52,warmup-05_steps-03_scale-1_velocity-30_curvature-10_beta-zero,results/solar-grid-15k-108774/runs/warmup-05_steps-03_scale-1_velocity-30_curvature-10_beta-zero,0.2258755924704019,0.12023761123418808,0.028781326487660408,0.2116939127445221,0.001304325181990862,0.00011384279059711844,5,3,1.0,30.0,10.0,zero,323.4997459342703,606
33,warmup-05_steps-05_scale-1_velocity-1_curvature-1_beta-paper,results/solar-grid-15k-108774/runs/warmup-05_steps-05_scale-1_velocity-1_curvature-1_beta-paper,0.22666335583198816,0.1154627874493599,0.025671740993857384,0.20525383949279785,0.001633196952752769,0.0005077546811662614,5,5,1.0,1.0,1.0,paper,445.79697288013995,606
0,warmup-05_steps-01_scale-1_velocity-30_curvature-10_beta-zero,results/solar-grid-15k-108774/runs/warmup-05_steps-01_scale-1_velocity-30_curvature-10_beta-zero,0.2289248351880815,0.12266118079423904,0.03124610334634781,0.21407625079154968,0.0013488414697349072,0.0001360169699182734,5,1,1.0,30.0,10.0,zero,199.3800092190504,606
64,warmup-05_steps-05_scale-1_velocity-1_curvature-1_beta-zero,results/solar-grid-15k-108774/runs/warmup-05_steps-05_scale-1_velocity-1_curvature-1_beta-zero,0.23073388007469475,0.11787056177854538,0.02677377313375473,0.20896734297275543,0.001645208103582263,0.0005314456066116691,5,5,1.0,1.0,1.0,zero,446.3877426823601,606
11,warmup-05_steps-01_scale-1_velocity-1_curvature-1_beta-zero,results/solar-grid-15k-108774/runs/warmup-05_steps-01_scale-1_velocity-1_curvature-1_beta-zero,0.23462138487957418,0.12077970057725906,0.02939460799098015,0.21216481924057007,0.001617612550035119,0.0006280440138652921,5,1,1.0,1.0,1.0,zero,195.4378814236261,606
